,mean_saocom,median_saocom,count_saocom,polygon_id,filename_saocom,polarization,local_incidence_angle,date_saocom,s2_date,mean_s2,median_s2,count_s2,filename_s2,mndwi_mean,date_s2,geometry,area_ha
1059,-12.42068099975586,-12.582429885864258,102,89,Subset_S1B_OPER_SAR_EOSSP__CORE_L1A_OLF_20230305T114407_Cal_ML_SRGR_TC_dB_modified,HH,21.432484642777396,20230303,20230306,0.2309617,0.23353329300880432,94.0,S2B_MSIL2A_20230306T031619_N0509_R118_T48PWS_20230306T070117.SAFE_NDVI,-0.28627488,20230306,"POLYGON ((105.73173173574101 10.507245749996306, 105.73165768190505 10.50669563578636, 105.73032471285786 10.507203433518619, 105.73054687436573 10.507764126847988, 105.73173173574101 10.507245749996306))",0.9380127612176906
1060,-27.7386531829834,-27.751007080078125,102,89,Subset_S1B_OPER_SAR_EOSSP__CORE_L1A_OLF_20230305T114407_Cal_ML_SRGR_TC_dB_modified,HV,21.432484642777396,20230303,20230306,0.2309617,0.23353329300880432,94.0,S2B_MSIL2A_20230306T031619_N0509_R118_T48PWS_20230306T070117.SAFE_NDVI,-0.28627488,20230306,"POLYGON ((105.73173173574101 10.507245749996306, 105.73165768190505 10.50669563578636, 105.73032471285786 10.507203433518619, 105.73054687436573 10.507764126847988, 105.73173173574101 10.507245749996306))",0.9380127612176906
1061,0.1252966821193695,0.11513137817382812,102,89,Subset_S1B_OPER_SAR_EOSSP__CORE_L1A_OLF_20230305T114407_Cal_ML_SRGR_TC_dB_modified,RVI,21.432484642777396,20230303,20230306,0.2309617,0.23353329300880432,94.0,S2B_MSIL2A_20230306T031619_N0509_R118_T48PWS_20230306T070117.SAFE_NDVI,-0.28627488,20230306,"POLYGON ((105.73173173574101 10.507245749996306, 105.73165768190505 10.50669563578636, 105.73032471285786 10.507203433518619, 105.73054687436573 10.507764126847988, 105.73173173574101 10.507245749996306))",0.9380127612176906
1062,-12.42068099975586,15.168577194213867,102,89,Subset_S1B_OPER_SAR_EOSSP__CORE_L1A_OLF_20230305T114407_Cal_ML_SRGR_TC_dB_modified,CR,21.432484642777396,20230303,20230306,0.2309617,0.23353329300880432,94.0,S2B_MSIL2A_20230306T031619_N0509_R118_T48PWS_20230306T070117.SAFE_NDVI,-0.28627488,20230306,"POLYGON ((105.73173173574101 10.507245749996306, 105.73165768190505 10.50669563578636, 105.73032471285786 10.507203433518619, 105.73054687436573 10.507764126847988, 105.73173173574101 10.507245749996306))",0.9380127612176906
1063,-15.419466018676758,11.58503246307373,103,89,Subset_S1A_OPER_SAR_EOSSP__CORE_L1A_OLF_20230309T204419_Cal_ML_SRGR_TC_dB_modified,CR,30.20426710158267,20230306,20230306,0.2309617,0.23353329300880432,94.0,S2B_MSIL2A_20230306T031619_N0509_R118_T48PWS_20230306T070117.SAFE_NDVI,-0.28627488,20230306,"POLYGON ((105.73173173574101 10.507245749996306, 105.73165768190505 10.50669563578636, 105.73032471285786 10.507203433518619, 105.73054687436573 10.507764126847988, 105.73173173574101 10.507245749996306))",0.9380127612176906
1064,-8.084702491760254,-8.065753936767578,102,89,Subset_S1B_OPER_SAR_EOSSP__CORE_L1A_OLF_20230807T041747_Cal_ML_SRGR_TC_dB_modified,HH,30.15902023756638,20230805,20230808,0.7318099,0.7339296936988831,94.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.6003836,20230808,"POLYGON ((105.73173173574101 10.507245749996306, 105.73165768190505 10.50669563578636, 105.73032471285786 10.507203433518619, 105.73054687436573 10.507764126847988, 105.73173173574101 10.507245749996306))",0.9380127612176906
1065,-17.875497817993164,-17.560409545898438,102,89,Subset_S1B_OPER_SAR_EOSSP__CORE_L1A_OLF_20230807T041747_Cal_ML_SRGR_TC_dB_modified,HV,30.15902023756638,20230805,20230808,0.7318099,0.7339296936988831,94.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.6003836,20230808,"POLYGON ((105.73173173574101 10.507245749996306, 105.73165768190505 10.50669563578636, 105.73032471285786 10.507203433518619, 105.73054687436573 10.507764126847988, 105.73173173574101 10.507245749996306))",0.9380127612176906
1066,0.43199118971824646,0.38829919695854187,102,89,Subset_S1B_OPER_SAR_EOSSP__CORE_L1A_OLF_20230807T041747_Cal_ML_SRGR_TC_dB_modified,RVI,30.15902023756638,20230805,20230808,0.7318099,0.7339296936988831,94.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.6003836,20230808,"POLYGON ((105.73173173574101 10.507245749996306, 105.73165768190505 10.50669563578636, 105.73032471285786 10.507203433518619, 105.73054687436573 10.507764126847988, 105.73173173574101 10.507245749996306))",0.9380127612176906
1067,-8.084702491760254,9.49465560913086,102,89,Subset_S1B_OPER_SAR_EOSSP__CORE_L1A_OLF_20230807T041747_Cal_ML_SRGR_TC_dB_modified,CR,30.15902023756638,20230805,20230808,0.7318099,0.7339296936988831,94.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.6003836,20230808,"POLYGON ((105.73173173574101 10.507245749996306, 105.73165768190505 10.50669563578636, 105.73032471285786 10.507203433518619, 105.73054687436573 10.507764126847988, 105.73173173574101 10.507245749996306))",0.9380127612176906
1068,-18.45924949645996,-18.451011657714844,28,90,Subset_S1A_OPER_SAR_EOSSP__CORE_L1A_OLF_20230309T204419_Cal_ML_SRGR_TC_dB_modified,HH,30.23716946063165,20230306,20230306,0.35332474,0.35415562987327576,25.0,S2B_MSIL2A_20230306T031619_N0509_R118_T48PWS_20230306T070117.SAFE_NDVI,-0.35330814,20230306,"POLYGON ((105.72674897049322 10.508568139924062, 105.72670665401553 10.5082507663414, 105.72740487589739 10.508123816908334, 105.7273625594197 10.508462348729841, 105.72674897049322 10.508568139924062))",0.2602831465379997
