,mean_csg,median_csg,count_csg,polygon_id,filename_csg,polarization,local_incidence_angle,date_csg,s2_date,mean_s2,median_s2,count_s2,filename_s2,mndwi_mean,date_s2,geometry,area_ha
40,-14.418801307678223,-14.417292594909668,591.0,8,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,HH,44.87483934646354,20230806,20230808,0.8718038,0.8736293911933899,84.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.5887281,20230808,"POLYGON ((105.68336796891316 10.499406622504582, 105.68311407004703 10.499200329675851, 105.68430422098201 10.49726435082161, 105.68448671079204 10.497526184027306, 105.68336796891316 10.499406622504582))",0.8307805926140595
41,-20.976322174072266,-21.015180587768555,591.0,8,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,HV,44.87483934646354,20230806,20230808,0.8718038,0.8736293911933899,84.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.5887281,20230808,"POLYGON ((105.68336796891316 10.499406622504582, 105.68311407004703 10.499200329675851, 105.68430422098201 10.49726435082161, 105.68448671079204 10.497526184027306, 105.68336796891316 10.499406622504582))",0.8307805926140595
42,0.8045470714569092,0.725872278213501,591.0,8,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,RVI,44.87483934646354,20230806,20230808,0.8718038,0.8736293911933899,84.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.5887281,20230808,"POLYGON ((105.68336796891316 10.499406622504582, 105.68311407004703 10.499200329675851, 105.68430422098201 10.49726435082161, 105.68448671079204 10.497526184027306, 105.68336796891316 10.499406622504582))",0.8307805926140595
43,-14.418801307678223,6.597887992858887,591.0,8,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,CR,44.87483934646354,20230806,20230808,0.8718038,0.8736293911933899,84.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.5887281,20230808,"POLYGON ((105.68336796891316 10.499406622504582, 105.68311407004703 10.499200329675851, 105.68430422098201 10.49726435082161, 105.68448671079204 10.497526184027306, 105.68336796891316 10.499406622504582))",0.8307805926140595
45,-13.36886215209961,-13.449228286743164,474.0,9,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,HH,44.877500042857655,20230806,20230808,0.8337268,0.8388227224349976,65.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.5594263,20230808,"POLYGON ((105.68477234701643 10.497970507043034, 105.6845898572064 10.497708673837337, 105.68353459004406 10.499565309295914, 105.68368534249582 10.499771602124644, 105.68477234701643 10.497970507043034))",0.6721046351457038
46,-20.29654312133789,-20.260303497314453,474.0,9,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,HV,44.877500042857655,20230806,20230808,0.8337268,0.8388227224349976,65.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.5594263,20230808,"POLYGON ((105.68477234701643 10.497970507043034, 105.6845898572064 10.497708673837337, 105.68353459004406 10.499565309295914, 105.68368534249582 10.499771602124644, 105.68477234701643 10.497970507043034))",0.6721046351457038
47,0.760345458984375,0.6815931797027588,474.0,9,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,RVI,44.877500042857655,20230806,20230808,0.8337268,0.8388227224349976,65.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.5594263,20230808,"POLYGON ((105.68477234701643 10.497970507043034, 105.6845898572064 10.497708673837337, 105.68353459004406 10.499565309295914, 105.68368534249582 10.499771602124644, 105.68477234701643 10.497970507043034))",0.6721046351457038
48,-13.36886215209961,6.811075210571289,474.0,9,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,CR,44.877500042857655,20230806,20230808,0.8337268,0.8388227224349976,65.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.5594263,20230808,"POLYGON ((105.68477234701643 10.497970507043034, 105.6845898572064 10.497708673837337, 105.68353459004406 10.499565309295914, 105.68368534249582 10.499771602124644, 105.68477234701643 10.497970507043034))",0.6721046351457038
50,-13.45366096496582,-13.56755542755127,769.0,10,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,HH,44.859962063301644,20230806,20230808,0.844373,0.8487626314163208,108.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.52784234,20230808,"POLYGON ((105.68068616213966 10.501350535698391, 105.68038465723613 10.500953818720062, 105.68094006100578 10.500446020987802, 105.68074963685619 10.499977894953375, 105.68104320742016 10.499485965900247, 105.68163828288765 10.500088975707307, 105.68068616213966 10.501350535698391))",1.0762906829792522
51,-20.173105239868164,-20.223163604736328,769.0,10,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,HV,44.859962063301644,20230806,20230808,0.844373,0.8487626314163208,108.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.52784234,20230808,"POLYGON ((105.68068616213966 10.501350535698391, 105.68038465723613 10.500953818720062, 105.68094006100578 10.500446020987802, 105.68074963685619 10.499977894953375, 105.68104320742016 10.499485965900247, 105.68163828288765 10.500088975707307, 105.68068616213966 10.501350535698391))",1.0762906829792522
52,0.7868824601173401,0.7006057500839233,769.0,10,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,RVI,44.859962063301644,20230806,20230808,0.844373,0.8487626314163208,108.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.52784234,20230808,"POLYGON ((105.68068616213966 10.501350535698391, 105.68038465723613 10.500953818720062, 105.68094006100578 10.500446020987802, 105.68074963685619 10.499977894953375, 105.68104320742016 10.499485965900247, 105.68163828288765 10.500088975707307, 105.68068616213966 10.501350535698391))",1.0762906829792522
53,-13.45366096496582,6.655608177185059,769.0,10,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,CR,44.859962063301644,20230806,20230808,0.844373,0.8487626314163208,108.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.52784234,20230808,"POLYGON ((105.68068616213966 10.501350535698391, 105.68038465723613 10.500953818720062, 105.68094006100578 10.500446020987802, 105.68074963685619 10.499977894953375, 105.68104320742016 10.499485965900247, 105.68163828288765 10.500088975707307, 105.68068616213966 10.501350535698391))",1.0762906829792522
