,mean_s1,median_s1,count_s1,polygon_id,filename_s1,polarization,local_incidence_angle,date_s1,s2_date,mean_s2,median_s2,count_s2,filename_s2,date_s2,primary_class,primary_class_fraction,secondary_class,secondary_class_fraction
25,-9.407876014709473,-9.359272003173828,1038,80,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,34.98719787597656,20231220,20231225,0.43116218,0.4444896876811981,872,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,empty,1.0,,
26,-8.693387031555176,-8.586930274963379,4523,81,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,35.03935623168945,20231220,20231225,0.68428606,0.6911595463752747,3796,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,Soybean,0.6766467065868264,Maize,0.32335329341317365
27,-11.580029487609863,-11.347113609313965,1862,82,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,34.92505645751953,20231220,20231225,0.4067706,0.42025741934776306,1565,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,No cropland,0.38349514563106796,Maize,0.33980582524271846
28,-8.9813871383667,-8.818046569824219,1153,83,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,34.896575927734375,20231220,20231225,0.5455473,0.5435308218002319,971,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,No cropland,1.0,,
29,-11.371560096740723,-11.29613208770752,2337,84,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,35.07155990600586,20231220,20231225,0.23066118,0.22886990010738373,1963,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,Soybean,0.6061776061776062,Maize,0.38996138996138996
30,-8.213154792785645,-7.973264694213867,1739,85,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,35.06282424926758,20231220,20231225,0.77527004,0.7868009209632874,1454,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,Maize,1.0,,
31,-11.165014266967773,-11.079670906066895,1778,86,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,35.153839111328125,20231220,20231225,0.7593746,0.7626388669013977,1492,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,No cropland,1.0,,
32,-11.010056495666504,-11.047906875610352,1081,87,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,35.18738555908203,20231220,20231225,0.78669816,0.835273027420044,911,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,No cropland,1.0,,
33,-9.034770965576172,-8.975037574768066,1387,88,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,35.246280670166016,20231220,20231225,0.7464763,0.7518656849861145,1163,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,Maize,0.8451612903225807,No cropland,0.15483870967741936
34,-9.254175186157227,-9.081524848937988,1983,89,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,35.246707916259766,20231220,20231225,0.6880847,0.7401430606842041,1668,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,No cropland,0.8597285067873304,Maize,0.14027149321266968
