,mean_s1,median_s1,count_s1,polygon_id,filename_s1,polarization,local_incidence_angle,date_s1,s2_date,mean_s2,median_s2,count_s2,filename_s2,date_s2
74,-9.113471984863281,-9.065997123718262,7332.0,7,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,VV,36.625953674316406,20220602,20220604,0.6420594,0.6657052040100098,5886.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
75,-18.50458526611328,-18.334819793701172,7332.0,7,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,VH,36.625953674316406,20220602,20220604,0.6420594,0.6657052040100098,5886.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
76,-9.113471984863281,9.26882266998291,7332.0,7,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,CR,36.625953674316406,20220602,20220604,0.6420594,0.6657052040100098,5886.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
77,0.4735419750213623,0.41943424940109253,7332.0,7,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB-RVI,RVI,36.625953674316406,20220602,20220604,0.6420594,0.6657052040100098,5886.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
78,-12.551633834838867,-12.454675674438477,9022.0,8,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,VV,36.72343826293945,20210806,20210808,0.8546292,0.8622602224349976,7305.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
79,-17.853246688842773,-17.67376708984375,9022.0,8,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,VH,36.72343826293945,20210806,20210808,0.8546292,0.8622602224349976,7305.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
80,-12.551633834838867,5.219091415405273,9022.0,8,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,CR,36.72343826293945,20210806,20210808,0.8546292,0.8622602224349976,7305.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
81,0.9888384938240051,0.9272636771202087,9022.0,8,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB-RVI,RVI,36.72343826293945,20210806,20210808,0.8546292,0.8622602224349976,7305.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
84,-11.154670715332031,-11.054488182067871,9021.0,8,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,VV,36.71577835083008,20220602,20220604,0.3157021,0.317554235458374,7305.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
85,-20.4146671295166,-20.10540199279785,9021.0,8,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,VH,36.71577835083008,20220602,20220604,0.3157021,0.317554235458374,7305.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
86,-11.154670715332031,9.05091381072998,9021.0,8,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,CR,36.71577835083008,20220602,20220604,0.3157021,0.317554235458374,7305.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
87,0.4953240752220154,0.43617376685142517,9021.0,8,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB-RVI,RVI,36.71577835083008,20220602,20220604,0.3157021,0.317554235458374,7305.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
88,-13.520666122436523,-13.43491268157959,9527.0,9,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,VV,36.873748779296875,20210806,20210808,0.56435496,0.5656440258026123,7704.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
